HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.attribute,Input.positive_url0,Input.positive_url1,Input.positive_url2,Input.positive_url3,Input.positive_url4,Input.negative_url0,Input.negative_url1,Input.negative_url2,Input.negative_url3,Input.negative_url4,Input.image_url0,Input.object0,Input.image_url1,Input.object1,Input.image_url2,Input.object2,Input.image_url3,Input.object3,Input.image_url4,Input.object4,Input.image_url5,Input.object5,Input.image_url6,Input.object6,Input.image_url7,Input.object7,Input.image_url8,Input.object8,Input.image_url9,Input.object9,Answer.No0.0,Answer.No1.0,Answer.No2.0,Answer.No3.0,Answer.No4.0,Answer.No5.0,Answer.No6.0,Answer.No7.0,Answer.No8.0,Answer.No9.0,Answer.Yes0.1,Answer.Yes1.1,Answer.Yes2.1,Answer.Yes3.1,Answer.Yes4.1,Answer.Yes5.1,Answer.Yes6.1,Answer.Yes7.1,Answer.Yes8.1,Answer.Yes9.1,Approve,Reject
3ICOHX7EOOSBCG0YFNGUO1W73V3E0X,3MVRTDU8OR5M3SVE0WCT8T6QJ0RF5M,Does this image contain the object of interest? (Clothing - slacks),"Given an image, you are expected to judge whether an object (one type of clothing, e.g., a tie, or a shirt ... ) is contained.","image, classification, detection",$0.17,Mon Nov 21 07:39:20 PST 2022,3,BatchId:4942614;OriginalHitTemplateId:928390875;,120,432000,Mon Nov 28 07:39:20 PST 2022,,,3Q5ZZ9ZEV1WWL6A2PS5826S12HQ850,A14KDNZSWDFIE7,Submitted,Mon Nov 21 08:10:08 PST 2022,Mon Nov 21 08:12:05 PST 2022,Sat Nov 26 08:12:05 PST 2022,,,,117,0% (0/0),0% (0/0),0% (0/0),in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/80_2.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/82_0.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/83_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/84_4.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/90_0.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/90_1.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/95_1.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_3.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/0_3.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/89_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/84_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/93_0.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/89_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/8_2.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/8_1.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/14_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/12_4.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/82_0.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/87_2.png,in slacks,false,false,false,false,true,false,true,false,false,false,true,true,true,true,false,true,false,true,true,true,,
3ICOHX7EOOSBCG0YFNGUO1W73V3E0X,3MVRTDU8OR5M3SVE0WCT8T6QJ0RF5M,Does this image contain the object of interest? (Clothing - slacks),"Given an image, you are expected to judge whether an object (one type of clothing, e.g., a tie, or a shirt ... ) is contained.","image, classification, detection",$0.17,Mon Nov 21 07:39:20 PST 2022,3,BatchId:4942614;OriginalHitTemplateId:928390875;,120,432000,Mon Nov 28 07:39:20 PST 2022,,,3VHP9MDGR01QZ6T4CGYMQ4FXH3SCFY,A2541C8MY0BYV3,Submitted,Mon Nov 21 08:22:56 PST 2022,Mon Nov 21 08:24:08 PST 2022,Sat Nov 26 08:24:08 PST 2022,,,,72,100% (170/170),100% (103/103),100% (40/40),in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/80_2.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/82_0.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/83_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/84_4.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/90_0.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/90_1.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/95_1.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_3.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/0_3.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/89_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/84_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/93_0.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/89_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/8_2.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/8_1.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/14_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/12_4.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/82_0.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/87_2.png,in slacks,false,false,false,false,true,true,true,false,false,false,true,true,true,true,false,false,false,true,true,true,,
3ICOHX7EOOSBCG0YFNGUO1W73V3E0X,3MVRTDU8OR5M3SVE0WCT8T6QJ0RF5M,Does this image contain the object of interest? (Clothing - slacks),"Given an image, you are expected to judge whether an object (one type of clothing, e.g., a tie, or a shirt ... ) is contained.","image, classification, detection",$0.17,Mon Nov 21 07:39:20 PST 2022,3,BatchId:4942614;OriginalHitTemplateId:928390875;,120,432000,Mon Nov 28 07:39:20 PST 2022,,,3QIYRE09YGYI0VWNU7SFHD5FFWMN1N,ACY3ZOOZMVS7Y,Submitted,Mon Nov 21 08:19:04 PST 2022,Mon Nov 21 08:20:00 PST 2022,Sat Nov 26 08:20:00 PST 2022,,,,56,100% (4/4),100% (4/4),100% (4/4),in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/80_2.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/82_0.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/83_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/84_4.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/90_0.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/90_1.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/95_1.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_3.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/0_3.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/89_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/84_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/93_0.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/89_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/8_2.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/8_1.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/14_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/12_4.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/82_0.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/87_2.png,in slacks,false,false,false,false,true,true,true,false,false,false,true,true,true,true,false,false,false,true,true,true,,
3T8DUCXY1ZNVXT685EOIGYX199K9TU,3MVRTDU8OR5M3SVE0WCT8T6QJ0RF5M,Does this image contain the object of interest? (Clothing - slacks),"Given an image, you are expected to judge whether an object (one type of clothing, e.g., a tie, or a shirt ... ) is contained.","image, classification, detection",$0.17,Mon Nov 21 07:39:20 PST 2022,3,BatchId:4942614;OriginalHitTemplateId:928390875;,120,432000,Mon Nov 28 07:39:20 PST 2022,,,3S0TNUHWK6ZRPJPV4YNR0IGTFYQD8F,A23KAJRDVCVGOE,Submitted,Mon Nov 21 08:19:53 PST 2022,Mon Nov 21 08:20:40 PST 2022,Sat Nov 26 08:20:40 PST 2022,,,,47,100% (169/169),100% (92/92),100% (8/8),in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/80_2.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/82_0.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/83_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/84_4.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/90_0.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/90_1.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/95_1.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_3.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/0_3.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/95_1.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/83_0.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/81_4.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/0_2.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/11_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/15_4.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/92_2.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/82_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/93_2.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/14_3.png,in slacks,true,false,true,true,false,true,true,true,true,true,false,true,false,false,true,false,false,false,false,false,,
3T8DUCXY1ZNVXT685EOIGYX199K9TU,3MVRTDU8OR5M3SVE0WCT8T6QJ0RF5M,Does this image contain the object of interest? (Clothing - slacks),"Given an image, you are expected to judge whether an object (one type of clothing, e.g., a tie, or a shirt ... ) is contained.","image, classification, detection",$0.17,Mon Nov 21 07:39:20 PST 2022,3,BatchId:4942614;OriginalHitTemplateId:928390875;,120,432000,Mon Nov 28 07:39:20 PST 2022,,,3ZSANO2JCSO66NI092OM59JF354FSJ,A32UPOIV8K3W0Z,Submitted,Mon Nov 21 07:47:29 PST 2022,Mon Nov 21 07:48:36 PST 2022,Sat Nov 26 07:48:36 PST 2022,,,,67,0% (0/0),0% (0/0),0% (0/0),in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/80_2.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/82_0.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/83_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/84_4.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/90_0.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/90_1.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/95_1.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_3.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/0_3.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/95_1.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/83_0.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/81_4.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/0_2.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/11_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/15_4.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/92_2.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/82_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/93_2.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/14_3.png,in slacks,true,false,true,true,false,true,false,false,false,true,false,true,false,false,true,false,true,true,true,false,,
3T8DUCXY1ZNVXT685EOIGYX199K9TU,3MVRTDU8OR5M3SVE0WCT8T6QJ0RF5M,Does this image contain the object of interest? (Clothing - slacks),"Given an image, you are expected to judge whether an object (one type of clothing, e.g., a tie, or a shirt ... ) is contained.","image, classification, detection",$0.17,Mon Nov 21 07:39:20 PST 2022,3,BatchId:4942614;OriginalHitTemplateId:928390875;,120,432000,Mon Nov 28 07:39:20 PST 2022,,,3SKEMFQBZGMZ3PV5WF9E4VBJZ7MK8Y,A3I9XLIHPPWPN1,Submitted,Mon Nov 21 08:15:11 PST 2022,Mon Nov 21 08:15:45 PST 2022,Sat Nov 26 08:15:45 PST 2022,,,,34,100% (306/306),100% (3/3),0% (0/0),in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/80_2.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/82_0.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/83_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/84_4.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/90_0.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/90_1.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/95_1.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_3.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/0_3.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/95_1.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/83_0.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/81_4.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/0_2.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/11_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/15_4.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/92_2.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/82_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/93_2.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/14_3.png,in slacks,true,false,true,true,false,true,false,true,false,true,false,true,false,false,true,false,true,false,true,false,,
3K1H3NEY8XG3VEXJXUUD3B12A0RGD9,3MVRTDU8OR5M3SVE0WCT8T6QJ0RF5M,Does this image contain the object of interest? (Clothing - slacks),"Given an image, you are expected to judge whether an object (one type of clothing, e.g., a tie, or a shirt ... ) is contained.","image, classification, detection",$0.17,Mon Nov 21 07:39:20 PST 2022,3,BatchId:4942614;OriginalHitTemplateId:928390875;,120,432000,Mon Nov 28 07:39:20 PST 2022,,,3L70J4KAZT3587IA1W75W9MO5MQDAJ,A2541C8MY0BYV3,Submitted,Mon Nov 21 08:19:53 PST 2022,Mon Nov 21 08:21:16 PST 2022,Sat Nov 26 08:21:16 PST 2022,,,,83,100% (170/170),100% (103/103),100% (40/40),in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/80_2.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/82_0.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/83_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/84_4.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/90_0.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/90_1.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/95_1.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_3.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/0_3.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/5_1.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/13_2.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/4_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/13_0.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/88_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/80_1.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/3_4.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/3_2.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/13_2.png,in slacks,true,true,true,true,false,false,true,true,false,false,false,false,false,false,true,true,false,false,true,true,,
3K1H3NEY8XG3VEXJXUUD3B12A0RGD9,3MVRTDU8OR5M3SVE0WCT8T6QJ0RF5M,Does this image contain the object of interest? (Clothing - slacks),"Given an image, you are expected to judge whether an object (one type of clothing, e.g., a tie, or a shirt ... ) is contained.","image, classification, detection",$0.17,Mon Nov 21 07:39:20 PST 2022,3,BatchId:4942614;OriginalHitTemplateId:928390875;,120,432000,Mon Nov 28 07:39:20 PST 2022,,,3NAPMVF0Z9W0MVMWX4B4QZTU7NV278,A2JPOXYZM5AJZZ,Submitted,Mon Nov 21 08:17:09 PST 2022,Mon Nov 21 08:17:43 PST 2022,Sat Nov 26 08:17:43 PST 2022,,,,34,0% (0/0),0% (0/0),0% (0/0),in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/80_2.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/82_0.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/83_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/84_4.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/90_0.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/90_1.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/95_1.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_3.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/0_3.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/5_1.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/13_2.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/4_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/13_0.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/88_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/80_1.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/3_4.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/3_2.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/13_2.png,in slacks,true,true,true,true,false,true,true,true,false,true,false,false,false,false,true,false,false,false,true,false,,
3K1H3NEY8XG3VEXJXUUD3B12A0RGD9,3MVRTDU8OR5M3SVE0WCT8T6QJ0RF5M,Does this image contain the object of interest? (Clothing - slacks),"Given an image, you are expected to judge whether an object (one type of clothing, e.g., a tie, or a shirt ... ) is contained.","image, classification, detection",$0.17,Mon Nov 21 07:39:20 PST 2022,3,BatchId:4942614;OriginalHitTemplateId:928390875;,120,432000,Mon Nov 28 07:39:20 PST 2022,,,3ZPBJO59K2IKIUQO72HXDV9SIIHHD1,A2T5CROJ0FWIJY,Submitted,Mon Nov 21 08:22:58 PST 2022,Mon Nov 21 08:24:50 PST 2022,Sat Nov 26 08:24:50 PST 2022,,,,112,0% (0/0),0% (0/0),0% (0/0),in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/80_2.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/82_0.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/83_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/84_4.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/90_0.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/90_1.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/95_1.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_3.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/0_3.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/5_1.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/13_2.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/4_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/13_0.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/88_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/80_1.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/3_4.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/3_2.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/13_2.png,in slacks,true,false,false,false,false,true,true,true,false,false,false,true,true,true,true,false,false,false,true,true,,
3DWGDA5PPRLSLG726W942A338IC1VT,3MVRTDU8OR5M3SVE0WCT8T6QJ0RF5M,Does this image contain the object of interest? (Clothing - slacks),"Given an image, you are expected to judge whether an object (one type of clothing, e.g., a tie, or a shirt ... ) is contained.","image, classification, detection",$0.17,Mon Nov 21 07:39:20 PST 2022,3,BatchId:4942614;OriginalHitTemplateId:928390875;,120,432000,Mon Nov 28 07:39:20 PST 2022,,,3YHH42UU5OWS568KMB80QGIG59B0LQ,A14KDNZSWDFIE7,Submitted,Mon Nov 21 08:00:42 PST 2022,Mon Nov 21 08:01:42 PST 2022,Sat Nov 26 08:01:42 PST 2022,,,,60,0% (0/0),0% (0/0),0% (0/0),in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/80_2.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/82_0.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/83_4.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/84_4.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/90_0.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/90_1.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/95_1.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/91_3.png,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/0_3.png,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/14_4.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/88_0.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/0_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/81_3.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/7_0.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/84_2.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/81_1.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/0_4.png,in slacks,https://stevenyzimages.s3.amazonaws.com/female_v1_stable_gen/84_4.png,in slacks,https://stevenyzimages.s3.amazonaws.com/male_v1_stable_gen/14_2.png,in slacks,true,false,true,true,true,false,false,true,false,true,false,true,false,false,false,true,true,false,true,false,,
